Timestamp,What is your email?,In which country do you currently reside?,Select the title most similar to your current role,How would you rate your expertise in these languages [Python],How would you rate your expertise in these languages [R],How would you rate your expertise in these languages [SQL],How would you rate your expertise in these languages [C],How would you rate your expertise in these languages [C++],How would you rate your expertise in these languages [Java],How would you rate your expertise in these languages [Javascript],How would you rate your expertise in these languages [Panda],How would you rate your expertise in these languages [Bash],How would you rate your expertise in these languages [MATLAB],How would you rate your expertise in these languages [Other],How would you rate your overall analytics expertise?,"Which of the following big data products (relational databases, data warehouses, data lakes, or similar) do you use on a regular basis? (Select all that apply)",Have you realized these types of initiatives in these platforms? [Data Warehouse],Have you realized these types of initiatives in these platforms? [Data Lakes],Have you realized these types of initiatives in these platforms? [ML/AI],Have you realized these types of initiatives in these platforms? [Data Preparation],Have you realized these types of initiatives in these platforms? [ETL],Have you realized these types of initiatives in these platforms? [Data Onboarding],Email Address
5/21/2020 0:46:26,rmontier46@columbia.edu,Indonesia,Product/Project Manager,expert,competent,beginner,expert,proficient,proficient,none,proficient,expert,competent,competent,1,Database B,Platform A,Platform B,Platform A;Platform B,Platform B;Platform C,Platform A,Platform A;Platform D;Platform C,rmontier46@columbia.edu
4/6/2020 18:09:42,nmcfaul4c@economist.com,Vietnam,Data Engineer,proficient,expert,competent,competent,none,expert,beginner,beginner,beginner,proficient,proficient,2,Database B;Database A;Database D,Platform B,Platform A;Platform B,Platform C,"Platform A;Platform D,Platform B",Platform B;Platform C,Platform B;Platform C,nmcfaul4c@economist.com
6/18/2020 14:07:03,landrioletti4e@biglobe.ne.jp,France,Data Analyst,none,expert,competent,none,expert,none,beginner,beginner,proficient,competent,competent,5,Database C,Platform C,Platform A;Platform B,Platform C,Platform C,Platform C,Platform D;Platform C,landrioletti4e@biglobe.ne.jp
3/21/2020 6:23:30,sgallihaulk4g@vimeo.com,Indonesia,Citizen Data Scientist,expert,expert,competent,none,expert,expert,competent,proficient,beginner,beginner,expert,4,Database A,Platform B,Platform B;Platform C,Platform A;Platform B;Platform C,"Platform A;Platform D,Platform B",Platform D,Platform B,sgallihaulk4g@vimeo.com
4/12/2020 17:26:32,snaismith4m@jiathis.com,Canada,Software Engineer,competent,expert,proficient,proficient,beginner,proficient,competent,beginner,competent,none,competent,2,Database A,Platform B,Platform C,Platform A;Platform B,Platform B;Platform C,Platform B,Platform B;Platform C,snaismith4m@jiathis.com
3/27/2020 14:30:16,tsnoddy4p@yellowbook.com,South Africa,Software Engineer,competent,competent,beginner,competent,proficient,expert,proficient,beginner,expert,beginner,competent,1,Database A,Platform A,Platform A;Platform B,Platform B,Platform D;Platform B,"Platform A;Platform D,Platform B",Platform D;Platform B,tsnoddy4p@yellowbook.com
8/4/2020 18:14:47,cstrathe51@nydailynews.com,Vietnam,Data Scientist,beginner,competent,beginner,proficient,expert,expert,none,beginner,competent,expert,none,3,Database B;Database E,Platform D,Platform A,Platform A;Platform B,Platform D;Platform B,Platform B,Platform C,cstrathe51@nydailynews.com
1/25/2020 21:06:29,sgettens54@cbsnews.com,China,Data Analyst,proficient,expert,none,expert,proficient,none,expert,proficient,proficient,beginner,none,5,Database C,Platform A,Platform B;Platform C,Platform A;Platform B,Platform A;Platform D;Platform C,Platform D;Platform C,Platform B,sgettens54@cbsnews.com
3/26/2020 10:42:57,ctanguy57@a8.net,Tanzania,Data Analyst,proficient,proficient,expert,competent,proficient,proficient,expert,competent,proficient,proficient,none,4,Database A,Platform A,Platform A,Platform A;Platform C,"Platform A;Platform D,Platform B",Platform D,Platform C,ctanguy57@a8.net
5/29/2020 8:04:48,cbattrick5a@usda.gov,Czech Republic,Citizen Data Scientist,beginner,proficient,proficient,none,proficient,expert,beginner,expert,expert,none,none,1,Database C,Platform B,Platform B;Platform C,Platform A;Platform C,Platform C,Platform C,Platform C,cbattrick5a@usda.gov
10/26/2020 21:53:23,fbiddles5b@com.com,Afghanistan,Data Engineer,proficient,competent,none,proficient,none,expert,beginner,expert,competent,proficient,competent,3,Database B,Platform A,Platform A;Platform B;Platform C,Platform A;Platform B,Platform C,Platform A;Platform D;Platform C,Platform A;Platform D;Platform C,fbiddles5b@com.com
10/23/2020 9:19:44,mmilesop5d@4shared.com,Japan,Data Scientist,expert,none,proficient,beginner,competent,beginner,none,beginner,beginner,beginner,none,3,Database D,Platform C,Platform C,Platform C,Platform D,Platform D,Platform D;Platform C,mmilesop5d@4shared.com
6/5/2020 12:48:03,mocosgra5g@1und1.de,Russia,Citizen Data Scientist,proficient,proficient,none,beginner,beginner,proficient,none,proficient,none,expert,beginner,4,Database D,Platform C,Platform A;Platform C,Platform B,Platform A;Platform D;Platform C,Platform D;Platform C,Platform A,mocosgra5g@1und1.de
4/9/2020 17:48:50,rpayton5s@elegantthemes.com,United States,Software Engineer,none,proficient,competent,proficient,expert,proficient,competent,none,beginner,none,beginner,1,Database B;Database E,Platform C,Platform A;Platform C,Platform B Platform C,Platform A,"Platform A;Platform D,Platform B",Platform D;Platform C,rpayton5s@elegantthemes.com
6/17/2020 9:27:42,alicas5u@etsy.com,Indonesia,Citizen Data Scientist,expert,beginner,none,proficient,proficient,none,competent,proficient,competent,competent,none,3,Database D,Platform C,Platform B,Platform A;Platform B,Platform D;Platform B,Platform D;Platform B,Platform C,alicas5u@etsy.com
2/15/2020 15:19:22,dwisdom5w@51.la,Colombia,Product/Project Manager,beginner,competent,beginner,none,proficient,none,competent,beginner,competent,none,none,3,Database B,Platform C,Platform A;Platform C,Platform B,Platform D;Platform C,Platform B,Platform C,dwisdom5w@51.la
1/19/2020 3:15:27,kyerrington5x@nytimes.com,Sweden,Data Engineer,expert,expert,beginner,expert,none,beginner,expert,expert,competent,competent,proficient,4,Database C,Platform C,Platform C,Platform C,Platform A,Platform B;Platform C,Platform D,kyerrington5x@nytimes.com
11/27/2020 8:01:22,cjent61@sfgate.com,Philippines,Data Scientist,competent,beginner,beginner,competent,competent,beginner,expert,none,expert,none,none,3,Database A,Platform D,Platform B,Platform C,Platform A;Platform D;Platform C,"Platform A;Platform D,Platform B","Platform A;Platform D,Platform B",cjent61@sfgate.com
11/16/2020 22:00:34,qpulham62@un.org,China,Data Analyst,beginner,competent,expert,beginner,proficient,competent,competent,beginner,proficient,competent,none,2,Database E,Platform B,Platform A,Platform B Platform C,Platform D,Platform B,Platform A;Platform B;Platform C,qpulham62@un.org
8/22/2020 10:23:29,lwebbe65@tripadvisor.com,Indonesia,Citizen Data Scientist,expert,expert,beginner,competent,expert,proficient,proficient,competent,competent,beginner,expert,3,Database C,Platform B,Platform A,Platform C,Platform A;Platform D;Platform C,Platform D;Platform B,Platform C,lwebbe65@tripadvisor.com
11/22/2020 16:37:32,cyule66@samsung.com,France,Data Analyst,none,none,proficient,none,expert,competent,proficient,none,expert,none,expert,3,Database A,Platform A,Platform A;Platform C,Platform A,Platform A;Platform D;Platform C,Platform D,Platform B;Platform C,cyule66@samsung.com
10/18/2020 23:09:20,anappin6k@comsenz.com,Mexico,Data Analyst,expert,none,competent,competent,beginner,expert,proficient,none,beginner,expert,competent,1,Database B,Platform B,Platform C,Platform A;Platform B;Platform C,Platform B;Platform C,Platform A;Platform B;Platform C,Platform A;Platform B;Platform C,anappin6k@comsenz.com
7/2/2020 10:37:26,sroyan6s@alexa.com,Togo,Data Analyst,proficient,none,expert,none,competent,none,proficient,beginner,proficient,expert,expert,2,Database B;Database A;Database D,Platform C,Platform C,Platform A;Platform B,Platform B,Platform D;Platform C,Platform D;Platform C,sroyan6s@alexa.com
4/3/2020 20:25:43,mgiraudy6t@globo.com,Nepal,Product/Project Manager,beginner,proficient,beginner,proficient,proficient,none,expert,proficient,expert,expert,competent,4,Database E,Platform D,Platform A,Platform A;Platform B,Platform B;Platform C,Platform D,Platform A;Platform B;Platform C,mgiraudy6t@globo.com
11/26/2020 22:02:33,oort6x@tamu.edu,Indonesia,Data Analyst,expert,beginner,proficient,competent,competent,none,beginner,none,none,expert,expert,5,Database B,Platform C,Platform A;Platform C,Platform A;Platform B,Platform A;Platform B;Platform C,Platform B;Platform C,Platform A;Platform D;Platform C,oort6x@tamu.edu
7/23/2020 21:21:22,bfitchen6y@github.io,Zimbabwe,Data Analyst,competent,expert,expert,none,expert,beginner,proficient,beginner,none,none,proficient,3,Database B;Database E,Platform B,Platform B,Platform A;Platform C,"Platform A;Platform D,Platform B",Platform A,Platform B,bfitchen6y@github.io
9/4/2020 21:17:04,dbarnsdale71@e-recht24.de,French Polynesia,Software Engineer,proficient,beginner,competent,beginner,beginner,proficient,none,expert,proficient,proficient,beginner,5,Database B,Platform B,Platform A;Platform C,Platform A;Platform C,Platform C,Platform D,Platform A;Platform D;Platform C,dbarnsdale71@e-recht24.de
7/18/2020 17:34:22,lshilstone74@cmu.edu,China,Data Analyst,competent,expert,none,beginner,beginner,expert,proficient,proficient,none,competent,competent,1,Database C,Platform C,Platform A,Platform A,Platform B;Platform C,"Platform A;Platform D,Platform B",Platform D;Platform C,lshilstone74@cmu.edu
5/9/2020 14:59:33,ebalderson7a@dion.ne.jp,France,Data Analyst,expert,expert,beginner,beginner,expert,expert,expert,beginner,beginner,expert,none,2,Database B,Platform A,Platform A;Platform C,Platform A;Platform B,Platform D;Platform B,Platform D;Platform B,"Platform A;Platform D,Platform B",ebalderson7a@dion.ne.jp
3/27/2020 6:30:38,sroscamps7c@marketwatch.com,China,Data Analyst,proficient,none,expert,beginner,proficient,beginner,expert,expert,expert,none,proficient,5,Database B;Database E,Platform C,Platform B,Platform A;Platform B,"Platform A;Platform D,Platform B","Platform A;Platform D,Platform B",Platform B,sroscamps7c@marketwatch.com
1/25/2020 18:02:47,epecey7d@reference.com,Kosovo,Data Engineer,expert,none,expert,expert,competent,competent,none,expert,proficient,expert,beginner,1,Database B,Platform A,Platform B;Platform C,Platform C,Platform A;Platform D;Platform C,Platform C,Platform D,epecey7d@reference.com
4/15/2020 3:14:18,dferries7m@hatena.ne.jp,Canada,Data Analyst,competent,beginner,expert,beginner,competent,beginner,beginner,expert,beginner,beginner,competent,5,Database B,Platform D,Platform A;Platform B,Platform A,Platform B;Platform C,Platform D;Platform B,Platform C,dferries7m@hatena.ne.jp
1/17/2020 15:59:39,lchupin7o@sbwire.com,Tajikistan,Product/Project Manager,competent,expert,proficient,none,proficient,beginner,proficient,none,competent,beginner,beginner,1,Database A,Platform B,Platform A,Platform A;Platform B;Platform C,"Platform A;Platform D,Platform B",Platform A;Platform D;Platform C,Platform B,lchupin7o@sbwire.com
6/12/2020 6:27:09,jhollingsbee7r@walmart.com,Russia,Data Engineer,expert,none,expert,proficient,beginner,beginner,beginner,none,proficient,expert,beginner,1,Database B,Platform A,Platform C,Platform A,Platform A;Platform B;Platform C,"Platform A;Platform D,Platform B",Platform D;Platform B,jhollingsbee7r@walmart.com
10/30/2020 11:04:08,fswannack7x@people.com.cn,Philippines,Product/Project Manager,expert,competent,none,expert,proficient,expert,expert,beginner,expert,proficient,expert,3,Database B;Database E,Platform C,Platform A;Platform C,Platform A,Platform D,Platform A;Platform B;Platform C,Platform B;Platform C,fswannack7x@people.com.cn
2/28/2020 21:36:33,ufaire7z@dell.com,Indonesia,Software Engineer,none,beginner,proficient,competent,proficient,none,beginner,none,beginner,beginner,expert,4,Database B;Database A;Database D,Platform B,Platform C,Platform C,Platform A;Platform D;Platform C,"Platform A;Platform D,Platform B",Platform A,ufaire7z@dell.com
4/19/2020 13:33:15,jveelers81@tripadvisor.com,Thailand,Citizen Data Scientist,proficient,none,competent,proficient,competent,proficient,competent,beginner,competent,competent,proficient,5,Database D,Platform C,Platform B,Platform A,Platform A;Platform D;Platform C,Platform B,"Platform A;Platform D,Platform B",jveelers81@tripadvisor.com
8/16/2020 7:14:16,soscanlan8d@seesaa.net,France,Citizen Data Scientist,proficient,none,expert,expert,none,expert,competent,beginner,none,competent,beginner,3,Database E,Platform B,Platform A;Platform C,Platform A,Platform D,Platform B;Platform C,Platform C,soscanlan8d@seesaa.net
10/17/2020 18:54:52,mharlow8r@wired.com,Sweden,Data Engineer,none,beginner,none,competent,beginner,competent,beginner,proficient,proficient,competent,competent,3,Database A,Platform B,Platform A;Platform C,Platform B,Platform B;Platform C,Platform C,Platform C,mharlow8r@wired.com
5/23/2020 16:32:15,myushin8w@usa.gov,Portugal,Data Engineer,expert,proficient,beginner,proficient,beginner,beginner,competent,expert,proficient,expert,expert,1,Database C,Platform C,Platform A,Platform B Platform C,Platform D;Platform C,Platform C,Platform B;Platform C,myushin8w@usa.gov
8/24/2020 22:53:15,sstinson8z@hc360.com,Malaysia,Data Engineer,beginner,beginner,expert,beginner,proficient,beginner,beginner,expert,beginner,proficient,none,5,Database C,Platform A,Platform A;Platform B;Platform C,Platform B,Platform A,Platform B;Platform C,Platform D,sstinson8z@hc360.com
11/11/2020 12:28:33,adowzell96@google.ca,Argentina,Citizen Data Scientist,proficient,none,proficient,beginner,beginner,none,competent,competent,none,none,beginner,4,Database C,Platform A,Platform A;Platform B;Platform C,Platform A;Platform B,"Platform A;Platform D,Platform B",Platform A;Platform B;Platform C,Platform B,adowzell96@google.ca
5/26/2020 7:25:53,hcadell9e@linkedin.com,Portugal,Citizen Data Scientist,expert,beginner,competent,competent,none,proficient,competent,proficient,proficient,beginner,none,4,Database A,Platform B,Platform A,Platform A,Platform A;Platform B;Platform C,Platform D;Platform B,Platform D,hcadell9e@linkedin.com
8/4/2020 23:05:12,rbenettini9h@163.com,China,Data Engineer,beginner,none,expert,none,none,none,proficient,proficient,proficient,competent,expert,2,Database C,Platform D,Platform C,Platform B,Platform C,Platform C,Platform C,rbenettini9h@163.com
8/1/2020 14:04:54,apiaggia9j@deliciousdays.com,Colombia,Data Analyst,expert,proficient,proficient,none,proficient,proficient,competent,none,beginner,expert,competent,2,Database C,Platform B,Platform A;Platform B,Platform A;Platform B;Platform C,Platform B;Platform C,Platform A;Platform D;Platform C,Platform B,apiaggia9j@deliciousdays.com
8/4/2020 18:02:55,idelafoy9w@mapy.cz,United States,Citizen Data Scientist,none,proficient,competent,none,beginner,competent,proficient,proficient,none,none,none,5,Database C,Platform C,Platform A;Platform C,Platform B Platform C,Platform A;Platform D;Platform C,Platform A,Platform D,idelafoy9w@mapy.cz
2/16/2020 2:21:15,cclowsley9x@wikia.com,Indonesia,Data Scientist,none,expert,competent,competent,none,beginner,competent,expert,proficient,competent,competent,2,Database E,Platform A,Platform C,Platform B,Platform D,"Platform A;Platform D,Platform B",Platform B,cclowsley9x@wikia.com
1/16/2020 12:06:16,fbowgen9z@kickstarter.com,Nigeria,Citizen Data Scientist,beginner,proficient,competent,expert,expert,none,proficient,competent,expert,competent,beginner,2,Database C,Platform B,Platform A,Platform B Platform C,Platform D,Platform A;Platform D;Platform C,Platform A;Platform D;Platform C,fbowgen9z@kickstarter.com
3/8/2020 8:30:04,fglazyera4@dyndns.org,Indonesia,Data Scientist,beginner,none,competent,beginner,none,proficient,proficient,none,beginner,competent,beginner,5,Database D,Platform B,Platform A;Platform B;Platform C,Platform B Platform C,Platform C,Platform B;Platform C,Platform A;Platform D;Platform C,fglazyera4@dyndns.org
11/23/2020 2:59:08,pdulingad@blogspot.com,China,Data Analyst,none,beginner,proficient,expert,competent,competent,expert,proficient,competent,none,none,1,Database D,Platform B,Platform B;Platform C,Platform C,Platform B;Platform C,Platform D;Platform C,Platform C,pdulingad@blogspot.com
7/11/2020 0:36:00,cdowberak@gnu.org,Tunisia,Data Engineer,none,none,competent,beginner,competent,expert,proficient,proficient,expert,expert,proficient,5,Database B;Database E,Platform D,Platform B,Platform A;Platform B;Platform C,Platform D,Platform D;Platform C,Platform C,cdowberak@gnu.org
6/9/2020 4:15:39,ltottmanal@xing.com,Poland,Data Scientist,proficient,proficient,competent,none,competent,none,proficient,proficient,proficient,beginner,competent,1,Database B;Database E,Platform C,Platform B;Platform C,Platform B,Platform D;Platform B,Platform B;Platform C,Platform D;Platform C,ltottmanal@xing.com
